WELL_ID,TREND,Presence,p-val,z
OIW-05,|('no trend', False,1, 0)|
USGS-353329119144701,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-351201119011401,|('no trend', False,1, 0.0)|
USGS-351256117445401,|('no trend', False,1, 0.0)|
USGS-351715117545102,|('no trend', False,1, 0.0)|
USGS-351722117560801,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-354147117414103,|('no trend', False,1, 0.0)|
USGS-345016117532301,|('no trend', False,1, 0.0)|
USGS-350817118055601,|('no trend', False,0.132854956, 1.502938298604359)|
USGS-351157118004701,|('no trend', False,1, 0.0)|
USGS-350540119114401,|('no trend', False,1, 0.0)|
USGS-351852117552401,|('no trend', False,1, 0.0)|
USGS-352426117471201,|('no trend', False,0.253170512, -1.142682323117963)|
USGS-350140117431501,|('no trend', False,1, 0.0)|
USGS-350139117460501,|('no trend', False,1, 0.0)|
USGS-350106117500101,|('no trend', False,0.956406916, 0.05466303878092527)|
USGS-344958118234201,|('increasing', True,0.031823127, 2.146625258399798)|
USGS-352102118554301,|('no trend', False,1, 0)|
USGS-354052117411501,|('no trend', False,1, 0.0)|
USGS-345701118153801,|('increasing', True,0.004674586, 2.828642697866792)|
USGS-345001118264501,|('no trend', False,0.452787478, -0.7507759960689286)|
USGS-351802117550001,|('no trend', False,0.155674531, -1.4197704150657822)|
USGS-352209117472201,|('no trend', False,0.06170669, -1.868397465987655)|
USGS-352354117405701,|('no trend', False,1, 0.0)|
USGS-354510117470001,|('no trend', False,1, 0.0)|
USGS-354654119422201,|('no trend', False,1, 0.0)|
USGS-351507118584501,|('no trend', False,1, 0.0)|
USGS-353119119062501,|('no trend', False,0.462432726, -0.7348469228349533)|
USGS-350528119221101,|('no trend', False,1, 0.0)|
USGS-351740117535001,|('no trend', False,1, 0)|
USGS-351924117571801,|('increasing', True,0.000836627, 3.340383700311406)|
USGS-354447117490901,|('no trend', False,1, 0.0)|
USGS-351701118002201,|('no trend', False,0.213373707, 1.2443420336765103)|
USGS-353629117411701,|('no trend', False,0.220671362, -1.224744871391589)|
USGS-353723117404303,|('increasing', True,0.038070115, 2.074099031496045)|
USGS-353930117391801,|('no trend', False,0.060289174, -1.8786728732554487)|
USGS-351701117555201,|('no trend', False,1, 0)|
USGS-351832117565801,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-353720117402502,|('no trend', False,0.086410733, 1.7146428199482247)|
USGS-354002117400601,|('no trend', False,1, 0)|
USGS-354240117383501,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-353908117394001,|('no trend', False,0.060289174, 1.8786728732554487)|
USGS-354450117415301,|('no trend', False,0.763890593, -0.3003757045930553)|
USGS-353910117430201,|('no trend', False,1, 0.0)|
USGS-354055117494401,|('no trend', False,0.763890593, -0.3003757045930553)|
USGS-354515119100801,|('no trend', False,1, 0)|
USGS-344923117550303,|('no trend', False,0.734095182, 0.3396831102433787)|
USGS-345212117561803,|('no trend', False,1, 0.0)|
USGS-350147117465501,|('increasing', True,0.018741137, 2.350640381700619)|
USGS-351515117592001,|('no trend', False,0.754454177, -0.3127716210856122)|
USGS-353751119351701,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-354408117485801,|('no trend', False,0.053699753, 1.929250647343899)|
USGS-351827117580901,|('no trend', False,0.462432726, 0.7348469228349533)|
USGS-353004117565401,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-354054117463001,|('no trend', False,1, 0.0)|
USGS-344927117533401,|('no trend', False,1, 0.0)|
USGS-345733118085201,|('no trend', False,0.986486881, -0.016936993022519234)|
USGS-350005117385401,|('no trend', False,1, 0.0)|
USGS-350429118554701,|('no trend', False,1, 0.0)|
USGS-350009118110501,|('no trend', False,0.643428844, 0.4629100498862757)|
USGS-352507117451601,|('no trend', False,1, 0.0)|
USGS-353844117415401,|('no trend', False,1, 0.0)|
USGS-353829117424701,|('increasing', True,0.00853492, 2.630142022557628)|
USGS-354215117500701,|('no trend', False,1, 0.0)|
USGS-350539119221501,|('no trend', False,1, 0.0)|
USGS-353657117421901,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-354233117445801,|('no trend', False,1, 0.0)|
USGS-350141117502201,|('no trend', False,1, 0.0)|
USGS-351012118003201,|('no trend', False,0.089429359, 1.6984155512168937)|
USGS-351415119052201,|('no trend', False,0.382053966, -0.8741180551382032)|
USGS-351714117562801,|('no trend', False,0.806495941, -0.2449489742783178)|
USGS-353845117431401,|('no trend', False,1, 0.0)|
USGS-351715117545101,|('no trend', False,0.133128484, -1.5018785229652765)|
USGS-351655118510701,|('increasing', True,0.027486336, 2.2045407685048604)|
USGS-352137117544801,|('decreasing', True,0.016753475, -2.3920737646358954)|
USGS-352148118563001,|('no trend', False,1, 0.0)|
USGS-353724117404301,|('no trend', False,0.734095182, 0.3396831102433787)|
